iteration,MSE_STD,MSE_DYN,MSE_CON
1.0,73187.18480149774,264198.238861652,284154.47981689544
2.0,34660.43354542752,155038.44410034345,35883.650201694705
3.0,34660.43354542752,44473.76797043133,35883.650201694705
4.0,34660.43354542752,37020.20937329028,3400.1405627453646
5.0,34660.43354542752,37020.20937329028,3400.1405627453646
6.0,34660.43354542752,37020.20937329028,158.9977451671859
7.0,4397.863405011012,22335.248111519406,158.9977451671859
8.0,4397.863405011012,22335.248111519406,158.9977451671859
9.0,251.27546435343882,22335.248111519406,158.9977451671859
10.0,251.27546435343882,22335.248111519406,158.9977451671859
11.0,251.27546435343882,22335.248111519406,39.05307871728357
12.0,251.27546435343882,218.94056004018813,39.05307871728357
13.0,251.27546435343882,218.94056004018813,39.05307871728357
14.0,251.27546435343882,218.94056004018813,39.05307871728357
15.0,243.26379242732173,218.94056004018813,39.05307871728357
16.0,243.26379242732173,218.94056004018813,39.05307871728357
17.0,231.66226670982127,218.94056004018813,29.103615185430936
18.0,231.66226670982127,218.94056004018813,29.103615185430936
19.0,231.66226670982127,218.94056004018813,8.711079179792337
20.0,89.73661894763434,218.94056004018813,8.711079179792337
21.0,89.73661894763434,218.94056004018813,8.711079179792337
22.0,15.845764335550468,218.94056004018813,8.711079179792337
23.0,15.845764335550468,218.94056004018813,8.711079179792337
24.0,15.845764335550468,218.94056004018813,8.711079179792337
25.0,15.845764335550468,218.94056004018813,8.711079179792337
26.0,15.845764335550468,218.94056004018813,8.711079179792337
27.0,15.845764335550468,218.94056004018813,8.711079179792337
28.0,2.696793055027899,218.94056004018813,8.711079179792337
29.0,1.935749944596547,218.94056004018813,0.7608606778959024
30.0,1.1292354058988503,218.94056004018813,0.7608606778959024
31.0,1.1292354058988503,218.94056004018813,0.7608606778959024
32.0,1.1292354058988503,218.94056004018813,0.7608606778959024
33.0,1.1292354058988503,218.94056004018813,0.7608606778959024
34.0,0.8046869228835777,218.94056004018813,0.7608606778959024
35.0,0.5696915795186916,218.94056004018813,0.4023534725022524
36.0,0.4794378106554112,218.94056004018813,0.4023534725022524
37.0,0.4794378106554112,218.94056004018813,0.4023534725022524
38.0,0.4794378106554112,3.78253528312114,0.4023534725022524
