# Raw Optimization Data,,,,,,,,,
# ,P5 - SIDE_OUTLET_D1 (m) ,P6 - MID_OUT_LET_D1 (m) ,P1 - MID_RED_LEN (m) ,P2 - MID_PIPE_LEN (m) ,P3 - SIDE_PIPE_LEN_L6 (m) ,P4 - SIDE_RED_LEN_H7 (m) ,P7 - report-2x-side-outlet-q-op (m^3 s^-1) ,P8 - report-mid-outlet-q-op (m^3 s^-1) ,P9 - report-inlet-q-op (m^3 s^-1) 
Name,P5,P6,P1,P2,P3,P4,P7,P8,P9
1,0.176938232,0.176,0.33300000000000007,1.6669999999999998,1.6712220458984375,0.32877795410156246,0.014772639,0.008560681,0.023333324
2,0.177138232,0.176,0.33300000000000007,1.6669999999999998,1.6721220458984376,0.32787795410156245,0.014782493,0.008550786,0.023333324
3,0.176938232,0.1762,0.3321,1.6679,1.6712220458984375,0.32877795410156246,0.014770828,0.008562589,0.023333324
4,0.19,0.17,0.35999999999999993,1.6400000000000001,1.73,0.27,0.015557884,0.007775349,0.023333324
5,0.1805108900884434,0.17435887862257557,0.34038504619840992,1.659614954,1.6872990053979953,0.31270099460200473,0.015009118,0.008324099,0.023333324
6,0.18069422342177674,0.17435887862257557,0.34038504619840992,1.659614954,1.6881240053979953,0.31187599460200466,0.015016766,0.008316671,0.023333324
7,0.1805108900884434,0.17454221195590891,0.3395600461984099,1.6604399538015902,1.6872990053979953,0.31270099460200473,0.014994308,0.008338892,0.023333324
8,0.18120030764055145,0.17868508806458686,0.32091710370935916,1.6790828962906408,1.6904013843824814,0.30959861561751845,0.014798058,0.008535181,0.023333324
9,0.1805798318436542,0.1747914995667767,0.33843825194950483,1.6615617480504952,1.687609243296444,0.31239075670355609,0.014982749,0.008350476,0.023333324
10,0.18051817827011263,0.17440461317089997,0.34017924073095013,1.659820759,1.6873318022155068,0.31266819778449317,0.015001088,0.008332271,0.023333324
11,0.1806848449367793,0.17440461317089997,0.34017924073095013,1.659820759,1.6880818022155069,0.31191819778449315,0.015007216,0.008326248,0.023333324
12,0.18051817827011263,0.17457127983756665,0.33942924073095004,1.660570759,1.6873318022155068,0.31266819778449317,0.014999303,0.008334013,0.023333324
13,0.18030856924590277,0.17385713742332612,0.34264288159503248,1.6573571184049676,1.6863885616065626,0.31361143839343752,0.015025403,0.008307927,0.023333324
14,0.18049721736769164,0.1743498655961426,0.34042560481735828,1.6595743951826418,1.6872374781546124,0.31276252184538761,0.015006109,0.008327042,0.023333324
15,0.18051608217987053,0.17439913841342425,0.34020387713959088,1.659796122860409,1.6873223698094173,0.31267763019058259,0.015002871,0.008330336,0.023333324
16,0.18051796866108843,0.1744040656951524,0.34018170437181416,1.6598182956281859,1.6873308589748981,0.312669141,0.015006647,0.008326461,0.023333324
17,0.18051815730921023,0.17440455842332522,0.34017948709503648,1.6598205129049635,1.687331707891446,0.31266829210855396,0.014999544,0.008333512,0.023333324
18,0.18066815730921024,0.17440455842332522,0.34017948709503648,1.6598205129049635,1.688006707891446,0.31199329210855392,0.015005872,0.008327534,0.023333324
19,0.18051815730921023,0.17455455842332523,0.33950448709503644,1.6604955129049634,1.687331707891446,0.31266829210855396,0.014993803,0.008339282,0.023333324
20,0.17886024089185965,0.17,0.35999999999999993,1.6400000000000001,1.6798710840133684,0.32012891598663162,0.015181085,0.00815217,0.023333324
21,0.18035236566747515,0.17396410258099271,0.34216153838553282,1.6578384616144672,1.6865856455036381,0.31341435449636185,0.015019416,0.008313816,0.023333324
22,0.18049654500045134,0.17434714136924748,0.34043786383838637,1.6595621361616137,1.6872344525020311,0.312765547,0.015005236,0.00832815,0.023333324
23,0.18051391960774738,0.17439330019373153,0.34023014912820809,1.659769850871792,1.6873126382348631,0.31268736176513678,0.015002262,0.008330936,0.023333324
24,0.18051736705161661,0.17440245895938114,0.34018893468278488,1.6598110653172151,1.6873281517322747,0.31267184826772526,0.014999378,0.00833396,0.023333324
25,0.18051790919350738,0.17440389925854619,0.34018245333654218,1.6598175466634579,1.6873305913707832,0.31266940862921677,0.015001973,0.008331243,0.023333324
26,0.18051813249763993,0.17440449250684731,0.34017978371918711,1.6598202162808129,1.6873315962393796,0.31266840376062033,0.015000664,0.008332643,0.023333324
27,0.1805181548280532,0.17440455183167744,0.34017951675745151,1.6598204832425485,1.6873316967262393,0.31266830327376061,0.014997633,0.008335759,0.023333324
